cancer_type,gene,mutated_samples,total_samples,mutation_frequency
LUAD,PIK3C2B,4,50,8.0
LUAD,PIWIL1,4,50,8.0
LUAD,PKP2,4,50,8.0
LUAD,PLA2G4A,4,50,8.0
LUAD,PLCG2,4,50,8.0
LUAD,PLCL1,4,50,8.0
LUAD,PLD1,4,50,8.0
LUAD,PLEC,4,50,8.0
LUAD,PLG,4,50,8.0
LUAD,POTEH,4,50,8.0
LUAD,POU3F4,4,50,8.0
LUAD,PPFIA2,4,50,8.0
LUAD,PRAMEF1,4,50,8.0
LUAD,PRKD1,4,50,8.0
LUAD,PRKDC,4,50,8.0
LUAD,PRR30,4,50,8.0
LUAD,PRR35,4,50,8.0
LUAD,PRUNE2,4,50,8.0
LUAD,PTBP2,4,50,8.0
LUAD,PTGS1,4,50,8.0
LUAD,PTPRZ1,4,50,8.0
LUAD,RALYL,4,50,8.0
LUAD,RBM10,4,50,8.0
LUAD,RBM12,4,50,8.0
LUAD,RBM46,4,50,8.0
LUAD,REG1A,4,50,8.0
LUAD,RESF1,4,50,8.0
LUAD,RFX7,4,50,8.0
LUAD,RGS22,4,50,8.0
LUAD,RGS7,4,50,8.0
LUAD,ROBO1,4,50,8.0
LUAD,SAMD3,4,50,8.0
LUAD,SCN10A,4,50,8.0
LUAD,SCN3A,4,50,8.0
LUAD,SERPINA12,4,50,8.0
LUAD,SERPINB3,4,50,8.0
LUAD,SETBP1,4,50,8.0
LUAD,SF1,4,50,8.0
LUAD,SHANK1,4,50,8.0
LUAD,SHANK2,4,50,8.0
LUAD,SHROOM3,4,50,8.0
LUAD,SIPA1L1,4,50,8.0
LUAD,SIPA1L2,4,50,8.0
LUAD,SLC12A2,4,50,8.0
LUAD,SLC17A3,4,50,8.0
LUAD,SLC17A6,4,50,8.0
LUAD,SLC17A7,4,50,8.0
LUAD,SLC22A25,4,50,8.0
LUAD,SLC22A9,4,50,8.0
LUAD,SLC27A6,4,50,8.0
LUAD,SLC8A3,4,50,8.0
LUAD,SLC9A2,4,50,8.0
LUAD,SLCO1C1,4,50,8.0
LUAD,SLCO6A1,4,50,8.0
LUAD,SLITRK3,4,50,8.0
LUAD,SNRNP200,4,50,8.0
LUAD,SORCS3,4,50,8.0
LUAD,SORL1,4,50,8.0
LUAD,SPAG17,4,50,8.0
LUAD,SPATA31A1,4,50,8.0
LUAD,SPATA31E1,4,50,8.0
LUAD,SPOCK3,4,50,8.0
LUAD,SRCAP,4,50,8.0
LUAD,SSTR4,4,50,8.0
LUAD,STRN3,4,50,8.0
LUAD,SV2C,4,50,8.0
LUAD,SYT9,4,50,8.0
LUAD,TAS1R2,4,50,8.0
LUAD,TBC1D25,4,50,8.0
LUAD,TG,4,50,8.0
LUAD,TPD52L3,4,50,8.0
LUAD,TRIM3,4,50,8.0
LUAD,TRIM58,4,50,8.0
LUAD,TRPM1,4,50,8.0
